lineages_l,number_genomes_per_lineage
CM.2.1,1
CM.3,3
CM.4,1
CM.4.1,1
CM.5,4
CM.7.1,2
CM.7.1.1,1
CM.8,1
CM.8.1,26
CM.8.1.3,1
CM.8.1.4,1
CN.1,195
CP.1,93
CP.1.1,24
CP.1.2,32
CP.1.3,31
CP.3,12
CP.5,4
CP.6,1
CP.8,33
CQ.1,101
CQ.1.1,56
CQ.2,8
CR.1,119
CR.1.1,1
CR.1.3,2
CR.2,46
CS.1,4
CT.1,19
CV.1,71
CV.2,2
CW.1,8
CY.1,13
CZ.1,1
CZ.2,2
DA.1,29
DC.1,8
DE.1,30
DE.2,22
DF.1,191
DG.1,14
DJ.1.1,3
DJ.1.1.1,3
DK.1,24
DL.1,12
DN.1,281
DN.1.1,488
DN.1.1.1,47
DN.1.1.2,42
DN.1.1.3,103
DN.1.1.4,75
DN.2,25
DP.1,17
DQ.1,21
DS.1,22
DS.2,58
DS.3,5
DT.1,64
DT.2,3
DU.1,860
DV.1,182
DV.1.1,648
DV.2,182
DV.3,429
DV.3.1,38
DV.4,7
DV.5,36
DV.6,2475
DV.6.1,4
DV.6.2,12
DV.7,198
DV.7.1,232
DV.7.1.1,9
DV.7.1.2,123
DV.7.1.3,10
DV.7.2,34
DV.8,2
DW.1,1
DY.1,4
DY.2,6
DY.4,1
EA.1,82
EC.1,222
EC.1.1,148
ED.2,35
EE.1,1
EE.2,38
EE.3,1
EE.4,7
EE.5,1
EF.1,358
EF.1.1,413
EF.1.1.1,50
EF.1.2,29
EF.1.3,4
EF.2,710
EF.3,10
EG.1,355
EG.1.1,1
EG.1.2,24
EG.1.3,283
EG.1.4,65
EG.1.4.1,2
EG.1.5,8
EG.1.6,121
EG.1.7,1
EG.10,5
EG.10.1,272
EG.11,3
EG.12,2
EG.13,58
EG.14,43
EG.2,68
EG.2.2,1
EG.2.4,1
EG.2.5,3
EG.3,16
EG.4,62
EG.4.3,2
EG.4.4,7
EG.4.5,9
EG.5,1
EG.5.1,1088
EG.5.1.1,1740
EG.5.1.10,13
EG.5.1.2,15
EG.5.1.3,1200
EG.5.1.4,439
EG.5.1.5,48
EG.5.1.6,444
EG.5.1.7,86
EG.5.1.8,87
EG.5.1.9,16
EG.5.2,34
EG.5.2.1,12
EG.5.2.3,27
EG.6,15
EG.6.1,251
EG.6.1.1,8
EG.7,78
EG.8,6
EG.9,15
EG.9.1,36
EH.1,9
EJ.1,7
EJ.2,17
EK.2,2
EK.2.1,82
EK.3,108
EK.4,3
EL.1,58
EM.1,542
EN.1,31
EQ.1,7
ER.1,220
ER.1.1,136
ES.1,5
ET.1,160
EU.1,17
EU.1.1,107
EU.1.1.1,27
EU.1.1.3,43
EV.1,12
EW.2,4
EZ.1,6
FA.1,3
FB.1,2
FB.2,7
FC.1,4
FD.1,144
FD.1.1,27
FD.2,11
FD.3,3
FD.4,122
FD.4.1,34
FE.1,9
FE.1.1,32
FE.1.1.1,16
FE.1.2,70
FF.1,73
FG.2,3
FG.3,96
FH.1,63
FJ.1,144
FK.1,3
FK.1.1,15
FK.1.1.2,10
FK.1.2,11
FK.1.2.1,14
FK.1.2.2,2
FK.1.3.2,2
FK.1.5,1
FL.1,92
FL.1.1,12
FL.1.2,6
FL.1.3,5
FL.1.4,1
FL.1.5,67
FL.1.5.1,817
FL.1.5.2,184
FL.1.6,2
FL.10,151
FL.10.1,14
FL.10.2,1
FL.10.3,1
FL.11,8
FL.12,60
FL.13,82
FL.13.2,7
FL.13.3,7
FL.13.3.1,42
FL.14,10
FL.15,40
FL.15.1.1,60
FL.15.2,1
FL.15.3,6
FL.16,4
FL.17,22
FL.17.2,8
FL.18,98
FL.18.1,2
FL.18.1.1,1
FL.19.1,17
FL.2,151
FL.2.1,16
FL.2.2,2
FL.2.2.1,3
FL.2.3,11
FL.2.4,1
FL.2.5,26
FL.2.6,6
FL.20,34
FL.20.1,133
FL.20.2,6
FL.21,10
FL.21.1,1
FL.22,13
FL.23,8
FL.24,44
FL.25,31
FL.26,28
FL.26.1,1
FL.27,41
FL.29,9
FL.3,1257
FL.3.1,643
FL.3.2,345
FL.3.3,379
FL.3.4,168
FL.30,7
FL.31,15
FL.31.1,21
FL.32.1,2
FL.33,29
FL.35,5
FL.36,11
FL.4,304
FL.4.1,5
FL.4.11,1
FL.4.2,1
FL.4.3,2
FL.4.4,1
FL.4.5,7
FL.4.6,11
FL.4.9,2
FL.5,254
FL.5.1,2
FL.6,1
FL.7,17
FL.8,20
FL.9,266
FM.1,115
FM.2,4
FN.1,57
FP.2,1
FP.3,3
FP.4,1
FQ.1,2
FR.1,5
FR.1.3,1
FS.1,10
FT.3.1,14
FT.3.1.1,3
FU.1,146
FU.2,52
FU.2.1,29
FU.3,6
FU.4,1
FU.5,3
FV.1,5
FW.1,32
FW.1.1,89
FW.2,2
FY.1,2
FY.1.1,2
FY.1.2,125
FY.2,20
FY.3,3
FY.3.1,12
FY.3.2,8
FY.3.3,1
FY.4,1
FY.4.1,22
FY.4.1.1,1
FY.4.1.2,46
FY.4.2,1
FY.5,116
FY.6,4
FZ.1,93
FZ.1.1,169
FZ.2,3
GA.1,44
GA.2,4
GA.3,49
GA.4,11
GA.4.1,63
GA.4.1.1,2
GA.5,7
GA.6,18
GB.1,23
GB.2,32
GC.1,13
GD.1,6
GD.2,6
GE.1,730
GE.1.1,29
GE.1.2,29
GE.1.3,97
GF.1,11
GG.1,2
GJ.1.1,11
GJ.1.2,240
GJ.1.2.1,6
GJ.1.2.2,1
GJ.1.2.4,1
GJ.1.2.5,5
GJ.1.2.6,21
GJ.1.2.8,3
GJ.2,8
GJ.3,5
GJ.4,16
GJ.5,6
GJ.5.1,71
GK.1,42
GK.1.1,163
GK.1.2,1
GK.1.3,17
GK.2,69
GK.2.1,117
GK.2.1.1,3
GK.2.2,2
GK.2.3,36
GK.3,3
GK.3.1,2
GK.4,9
GL.1,12
GM.3,2
GN.1,11
GN.1.1,2
GN.2,2
GN.4,8
GP.1,37
GP.2,121
GP.3,73
GQ.1,3
GR.1,8
GS.1,28
GS.3,87
GS.4,97
GS.4.1,265
GS.5,7
GV.1,13
GW.1,4
GW.3,29
GW.4,5
GW.5,77
GW.5.1,10
GW.5.1.1,196
GY.1,8
GY.2,1
GY.2.1,8
GY.5,27
GY.6,6
GY.7,9
GY.8,4
GZ.1,4
HA.1,5
HA.2,4
HB.1,1
HC.4,3
HE.1,1
HF.1,280
HF.1.1,4
HF.1.2,3
HG.2,1
HH.1,30
HH.1.1,12
HH.2,36
HJ.1,1
HK.1,41
HK.11,129
HK.2,7
HK.3,570
HK.3.1,19
HK.3.2,58
HK.3.3,2
HK.5,2
HK.6,507
HK.7,12
HK.8,18
HK.9,52
HN.1,14
HP.1.1,3
HQ.1,1
HR.1,4
HS.1,6
HT.1,4
HT.2,3
HU.1,1
HU.1.1,14
HV.1,592
HW.1,1
HW.1.1,37
HY.1,10
HZ.1,12
HZ.2,45
JA.1,12
JB.1,3
JB.2,1
JB.2.1,1
JC.1,4
JD.1,3
JD.1.1,464
JD.1.1.1,19
JD.1.1.2,14
JD.1.1.3,2
JD.1.2,1
JD.2,2
JE.1,13
